Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.050000000000000044,0.9,0.3947428761427201,0.6922279675963441,54,58.0,4.0,0.06896551724137931
Two Proportions (A/B),0.09999999999999998,0.8,0.48175649162407097,0.5136819534029287,3030,3032.0,2.0,0.0006596306068601583
Two Proportions (A/B),0.050000000000000044,0.8,0.12043682132331526,0.18722841572225357,455,454.0,1.0,0.002197802197802198
Two Proportions (A/B),0.09999999999999998,0.9,0.31498268436733834,0.5515660225340568,71,74.0,3.0,0.04054054054054054
Two Proportions (A/B),0.010000000000000009,0.9,0.08201172769822274,0.3272376209789293,74,74.0,0.0,0.0
Two Proportions (A/B),0.09999999999999998,0.9,0.34032384481267086,0.4256962887930924,552,554.0,2.0,0.0036101083032490976
Two Proportions (A/B),0.09999999999999998,0.9,0.4595680631346752,0.5538143697793871,478,481.0,3.0,0.006237006237006237
Two Proportions (A/B),0.050000000000000044,0.8,0.03970817377256941,0.24980809759216296,41,38.0,3.0,0.07317073170731707
Two Proportions (A/B),0.09999999999999998,0.9,0.4659973343748031,0.6202179437638051,175,178.0,3.0,0.016853932584269662
Two Proportions (A/B),0.050000000000000044,0.9,0.03183627348985278,0.16237250762876543,103,95.0,8.0,0.07766990291262135
Two Proportions (A/B),0.050000000000000044,0.8,0.382933269951699,0.4956709217556025,301,303.0,2.0,0.006600660066006601
Two Proportions (A/B),0.050000000000000044,0.85,0.48153199946401426,0.6715954906271495,117,120.0,3.0,0.025
Two Proportions (A/B),0.050000000000000044,0.8,0.3828186288121029,0.5514079246948895,134,137.0,3.0,0.021897810218978103
Two Proportions (A/B),0.050000000000000044,0.8,0.23471299232178158,0.4073665866969407,111,113.0,2.0,0.017699115044247787
Two Proportions (A/B),0.09999999999999998,0.8,0.24585335450247578,0.5161790095790831,37,39.0,2.0,0.05128205128205128
Two Proportions (A/B),0.010000000000000009,0.9,0.49078433929041676,0.7307957727494712,116,120.0,4.0,0.03333333333333333
Two Proportions (A/B),0.010000000000000009,0.95,0.12856879385535222,0.4171506167541801,76,80.0,4.0,0.05
Two Proportions (A/B),0.050000000000000044,0.85,0.497461454043316,0.7138610677096702,88,90.0,2.0,0.022222222222222223
Two Proportions (A/B),0.09999999999999998,0.85,0.28907449198788077,0.374341609108947,435,437.0,2.0,0.004576659038901602
Two Proportions (A/B),0.050000000000000044,0.85,0.3008448583356051,0.3320385113234394,3988,3990.0,2.0,0.0005012531328320802
Two Proportions (A/B),0.010000000000000009,0.8,0.4907771400135243,0.5559083584508053,1368,1372.0,4.0,0.0029154518950437317
Two Proportions (A/B),0.010000000000000009,0.9,0.45487040895201347,0.7385438708698775,82,87.0,5.0,0.05747126436781609
Two Proportions (A/B),0.010000000000000009,0.95,0.26551522297352126,0.5589345162910573,92,97.0,5.0,0.05154639175257732
Two Proportions (A/B),0.010000000000000009,0.85,0.08921900375611133,0.2375200346318226,156,155.0,1.0,0.00641025641025641
Two Proportions (A/B),0.010000000000000009,0.95,0.3239014399389548,0.5272155788624744,202,208.0,6.0,0.028846153846153848
Two Proportions (A/B),0.050000000000000044,0.95,0.2868918031018506,0.5206636072856468,108,113.0,5.0,0.04424778761061947
Two Proportions (A/B),0.09999999999999998,0.95,0.015930527220292638,0.02855168325328737,2950,2895.0,55.0,0.01864406779661017
Two Proportions (A/B),0.010000000000000009,0.8,0.46383509353157315,0.5401513596166196,997,1001.0,4.0,0.003996003996003996
Two Proportions (A/B),0.050000000000000044,0.9,0.11881717663972709,0.2221014736409962,274,273.0,1.0,0.0036496350364963502
Two Proportions (A/B),0.09999999999999998,0.9,0.367142106712274,0.40480789713310505,2857,2860.0,3.0,0.001048951048951049
Two Proportions (A/B),0.09999999999999998,0.8,0.024293184186179588,0.1737513267010522,47,42.0,5.0,0.10638297872340426
Two Proportions (A/B),0.010000000000000009,0.9,0.06806628556309426,0.1618429178467523,337,331.0,6.0,0.017804154302670624
Two Proportions (A/B),0.09999999999999998,0.8,0.47787502658884934,0.6313308315703214,127,129.0,2.0,0.015503875968992248
Two Proportions (A/B),0.09999999999999998,0.85,0.2459591767351686,0.4402378339764301,83,85.0,2.0,0.023529411764705882
Two Proportions (A/B),0.010000000000000009,0.85,0.46002895175125025,0.7457982441569893,70,74.0,4.0,0.05405405405405406
Two Proportions (A/B),0.09999999999999998,0.95,0.18498936805724636,0.4233786029562923,76,78.0,2.0,0.02564102564102564
Two Proportions (A/B),0.09999999999999998,0.85,0.29118221451121157,0.4217073443243389,191,193.0,2.0,0.010362694300518135
Two Proportions (A/B),0.010000000000000009,0.85,0.45209583769649664,0.716528965236022,85,89.0,4.0,0.0449438202247191
Two Proportions (A/B),0.09999999999999998,0.85,0.42150991945131017,0.6495238496326472,66,68.0,2.0,0.029411764705882353
Two Proportions (A/B),0.09999999999999998,0.8,0.4785968457598885,0.5315684449465726,1099,1101.0,2.0,0.0018165304268846503
Two Proportions (A/B),0.010000000000000009,0.95,0.4757249935818949,0.654395458548761,266,272.0,6.0,0.022058823529411766
Two Proportions (A/B),0.050000000000000044,0.9,0.29424352898803274,0.4540860607036504,188,191.0,3.0,0.015706806282722512
Two Proportions (A/B),0.010000000000000009,0.9,0.1484230723266976,0.2608076858907853,377,377.0,0.0,0.0
Two Proportions (A/B),0.09999999999999998,0.85,0.4737636914436987,0.7426055774147763,44,46.0,2.0,0.043478260869565216
Two Proportions (A/B),0.010000000000000009,0.85,0.392379096473372,0.5405164591306906,290,294.0,4.0,0.013605442176870748
Two Proportions (A/B),0.09999999999999998,0.95,0.11029325343806913,0.2917210413830389,101,101.0,0.0,0.0
Two Proportions (A/B),0.050000000000000044,0.8,0.17246670254292495,0.4304254610127061,46,48.0,2.0,0.041666666666666664
Two Proportions (A/B),0.010000000000000009,0.8,0.18853357682983368,0.2841536995518299,456,457.0,1.0,0.002188183807439825
Two Proportions (A/B),0.010000000000000009,0.95,0.23540117383459147,0.27296655703907236,4778,4781.0,3.0,0.0006274837900020916
Two Proportions (A/B),0.09999999999999998,0.95,0.03334421614388824,0.2541014911526652,50,46.0,4.0,0.08
Two Proportions (A/B),0.050000000000000044,0.8,0.1827752769051405,0.43196375522569863,50,52.0,2.0,0.038461538461538464
Two Proportions (A/B),0.010000000000000009,0.8,0.23701389010367044,0.2601808417295913,8124,8126.0,2.0,0.0002461235540241201
Two Proportions (A/B),0.050000000000000044,0.8,0.028409834295464616,0.07549120664996571,345,331.0,14.0,0.04057971014492753
Two Proportions (A/B),0.050000000000000044,0.85,0.01000570103012941,0.14080979128999413,69,56.0,13.0,0.18840579710144928
Two Proportions (A/B),0.010000000000000009,0.9,0.03677086580047642,0.32896353306245296,45,43.0,2.0,0.044444444444444446
Two Proportions (A/B),0.010000000000000009,0.95,0.15905737262177763,0.25720070117573557,601,602.0,1.0,0.0016611295681063123
Two Proportions (A/B),0.050000000000000044,0.9,0.010722172822292594,0.23223216310781153,41,33.0,8.0,0.1951219512195122
Two Proportions (A/B),0.09999999999999998,0.8,0.334893123983677,0.5600430588017044,58,60.0,2.0,0.03333333333333333
Two Proportions (A/B),0.050000000000000044,0.8,0.21708830653666847,0.3149382691723929,317,318.0,1.0,0.0031446540880503146
Two Proportions (A/B),0.050000000000000044,0.8,0.3591844532182713,0.6060504985049058,61,63.0,2.0,0.031746031746031744
Two Proportions (A/B),0.050000000000000044,0.95,0.19176109399730495,0.4633237510545585,72,75.0,3.0,0.04
Two Proportions (A/B),0.09999999999999998,0.85,0.49258061735361314,0.7213126126614166,62,65.0,3.0,0.046153846153846156
Two Proportions (A/B),0.010000000000000009,0.9,0.2994125386573725,0.5011066723890953,169,173.0,4.0,0.023121387283236993
Two Proportions (A/B),0.010000000000000009,0.85,0.27680350996089387,0.49250655021795064,127,131.0,4.0,0.030534351145038167
Two Proportions (A/B),0.010000000000000009,0.95,0.392509541538523,0.5718036478876154,268,274.0,6.0,0.021897810218978103
Two Proportions (A/B),0.010000000000000009,0.8,0.030786926121376932,0.11773150601246235,207,194.0,13.0,0.06280193236714976
Two Proportions (A/B),0.09999999999999998,0.8,0.0736712724112912,0.24609786466987588,53,52.0,1.0,0.018867924528301886
Two Proportions (A/B),0.09999999999999998,0.8,0.3571599517714707,0.41706582826709593,815,817.0,2.0,0.0024479804161566705
Two Proportions (A/B),0.010000000000000009,0.95,0.22991868641583693,0.2860359375005127,2157,2161.0,4.0,0.0018509949097639982
Two Proportions (A/B),0.010000000000000009,0.9,0.05813514617264944,0.30115539761878035,67,66.0,1.0,0.014925373134328358
Two Proportions (A/B),0.09999999999999998,0.8,0.071311375999456,0.3279481442800989,27,27.0,0.0,0.0
Two Proportions (A/B),0.09999999999999998,0.8,0.0251203731109555,0.05017000997129466,711,695.0,16.0,0.02250351617440225
Two Proportions (A/B),0.09999999999999998,0.9,0.11456274050808787,0.3174551368372254,67,67.0,0.0,0.0
Two Proportions (A/B),0.010000000000000009,0.8,0.06824845167676527,0.3000170027048862,60,59.0,1.0,0.016666666666666666
Two Proportions (A/B),0.010000000000000009,0.85,0.47407442688317436,0.6279894652190592,267,271.0,4.0,0.014760147601476014
Two Proportions (A/B),0.050000000000000044,0.8,0.08988731509647958,0.3278869542521864,42,43.0,1.0,0.023255813953488372
Two Proportions (A/B),0.050000000000000044,0.85,0.022344772840022387,0.2756539978782455,31,28.0,3.0,0.0967741935483871
Two Proportions (A/B),0.010000000000000009,0.95,0.3117968386815934,0.56634748505315,127,133.0,6.0,0.045112781954887216
Two Proportions (A/B),0.050000000000000044,0.8,0.2839005107088893,0.43921599598492644,147,149.0,2.0,0.013422818791946308
Two Proportions (A/B),0.09999999999999998,0.8,0.2718023704279011,0.43861539489650136,99,101.0,2.0,0.019801980198019802
Two Proportions (A/B),0.09999999999999998,0.95,0.161328867763597,0.31118553252673276,169,170.0,1.0,0.0058823529411764705
Two Proportions (A/B),0.010000000000000009,0.9,0.4020017060642039,0.572286758022582,249,254.0,5.0,0.01968503937007874
Two Proportions (A/B),0.010000000000000009,0.85,0.4339949218653671,0.48960415223748455,2091,2096.0,5.0,0.002385496183206107
Two Proportions (A/B),0.09999999999999998,0.95,0.4369928767535186,0.642076745074099,123,126.0,3.0,0.023809523809523808
